rank,player_name,total,source,source_url,as_of_date
1,Lionel Messi,192,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
2,Xavi,129,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
3,Luis Figo,87,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
4,Karim Benzema,84,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
5,Cristiano Ronaldo,82,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
6,Luka Modrić,81,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
7,Andrés Iniesta,80,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
8,Toni Kroos,78,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
9,Ángel Di María,70,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
10,Mesut Özil,62,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_players,2025-06-01
