rank,player_name,total,source,source_url,as_of_date
1,Lionel Messi,474,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
2,Cristiano Ronaldo,311,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
3,Telmo Zarra,251,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
4,Hugo Sánchez,234,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
5,Raúl,228,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
6,Alfredo Di Stéfano,227,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
7,César Rodríguez,223,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
8,Quini,219,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
9,Pahiño,210,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
10,Karim Benzema,209,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
11,Luis Suárez,198,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
12,Ferenc Puskás,156,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
13,David Villa,155,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
14,Samuel Eto'o,135,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
15,Antoine Griezmann,134,Wikipedia,https://en.wikipedia.org/wiki/List_of_La_Liga_top_scorers,2025-06-01
