rank,player_name,total,source,source_url,as_of_date
1,Ryan Giggs,162,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
2,Cesc Fàbregas,111,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
3,Kevin De Bruyne,111,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
4,Wayne Rooney,103,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
5,Frank Lampard,102,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
6,Dennis Bergkamp,94,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
7,David Silva,93,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
8,Steven Gerrard,92,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
9,Teddy Sheringham,76,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
10,Thierry Henry,74,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
11,Mohamed Salah,74,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
12,Mesut Özil,54,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
13,Gareth Barry,53,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
14,James Ward-Prowse,55,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
15,Christian Eriksen,56,Wikipedia,https://en.wikipedia.org/wiki/Premier_League_records_and_statistics,2025-06-01
