rank,player_name,total,source,source_url,as_of_date
1,Alan Shearer,260,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
2,Harry Kane,213,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
3,Wayne Rooney,208,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
4,Andy Cole,187,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
5,Sergio Agüero,184,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
6,Frank Lampard,177,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
7,Thierry Henry,175,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
8,Robbie Fowler,163,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
9,Jermain Defoe,162,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
10,Mohamed Salah,161,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
11,Michael Owen,150,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
12,Les Ferdinand,149,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
13,Teddy Sheringham,146,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
14,Robin van Persie,144,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
15,Jimmy Floyd Hasselbaink,127,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
16,Robbie Keane,126,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
17,Nicolas Anelka,125,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
18,Dwight Yorke,123,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
19,Romelu Lukaku,121,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
20,Steven Gerrard,120,Wikipedia,https://en.wikipedia.org/wiki/List_of_Premier_League_players_with_100_or_more_goals,2025-06-01
