clubName,managerFullName,dateOfBirth,nationality,seasonLabel
Arsenal,Mikel Arteta,1982-03-26,ESP,2025/26
Aston Villa,Unai Emery,1971-11-03,ESP,2025/26
Bournemouth,Andoni Iraola,1982-06-22,ESP,2025/26
Brentford,Keith Andrews,1980-09-13,IRL,2025/26
Brighton,Fabian Hurzeler,1993-02-26,GER,2025/26
Burnley,Scott Parker,1980-10-13,ENG,2025/26
Chelsea,Enzo Maresca,1980-02-10,ITA,2025/26
Crystal Palace,Oliver Glasner,1974-08-28,AUT,2025/26
Everton,David Moyes,1963-04-25,SCO,2025/26
Fulham,Marco Silva,1977-07-26,POR,2025/26
Leeds United,Daniel Farke,1976-10-30,GER,2025/26
Liverpool,Arne Slot,1978-09-17,NED,2025/26
Manchester City,Pep Guardiola,1971-01-18,ESP,2025/26
Manchester Utd,Ruben Amorim,1985-01-27,POR,2025/26
Newcastle,Eddie Howe,1977-11-29,ENG,2025/26
Nottingham,Nuno Espirito Santo,1974-01-25,POR,2025/26
Sunderland,Regis Le Bris,1975-12-06,FRA,2025/26
Tottenham,Thomas Frank,1973-10-09,DEN,2025/26
West Ham,Graham Potter,1975-05-20,ENG,2025/26
Wolves,Vitor Pereira,1968-07-26,POR,2025/26
Alavés,Quique Sánchez Flores,1965-02-05,ESP,2025/26
Athletic Club,Ernesto Valverde,1964-02-09,ESP,2025/26
Atlético Madrid,Diego Simeone,1970-04-28,ARG,2025/26
Barcelona,Hansi Flick,1965-02-24,GER,2025/26
Celta Vigo,Claudio Giráldez,1988-02-24,ESP,2025/26
Elche,Eder Sarabia,1980-02-27,ESP,2025/26
Espanyol,Manolo González,1979-01-14,ESP,2025/26
Getafe,José Bordalás,1964-03-05,ESP,2025/26
Girona,Míchel,1975-10-30,ESP,2025/26
Levante,Julián Calero,1970-10-26,ESP,2025/26
Mallorca,Jagoba Arrasate,1978-04-22,ESP,2025/26
Osasuna,Alessio Lisci,1985-11-04,ITA,2025/26
Oviedo,Veljko Paunović,1977-08-21,SRB,2025/26
Rayo Vallecano,Iñigo Pérez,1988-01-21,ESP,2025/26
Real Betis,Manuel Pellegrini,1953-09-16,CHI,2025/26
Real Madrid,Álvaro Arbeloa,1983-01-17,ESP,2025/26
Real Sociedad,Sergio Francisco,1979-08-13,ESP,2025/26
Sevilla,Matías Almeyda,1973-12-21,ARG,2025/26
Valencia,Carlos Corberán,1983-03-07,ESP,2025/26
Villarreal,Marcelino,1965-08-14,ESP,2025/26
