clubName,managerFullName,dateOfBirth,nationality,seasonLabel,firstSeasonLabel
Bayern Munich,Vincent Kompany,1986-04-10,BEL,2025/26,2024/25
Dortmund,Niko Kovac,1971-10-15,CRO,2025/26,2025/26
Leverkusen,Erik ten Hag,1970-02-02,NED,2025/26,2025/26
RB Leipzig,Marco Rose,1976-09-11,GER,2025/26,2022/23
Frankfurt,Dino Toppmoller,1980-11-23,GER,2025/26,2023/24
Stuttgart,Sebastian Hoeness,1982-05-12,GER,2025/26,2023/24
Wolfsburg,Ralph Hasenhuttl,1967-08-09,AUT,2025/26,2024/25
Freiburg,Julian Schuster,1985-03-15,GER,2025/26,2024/25
Gladbach,Gerardo Seoane,1978-10-30,SUI,2025/26,2024/25
Hoffenheim,Christian Ilzer,1977-10-21,AUT,2025/26,2024/25
Werder Bremen,Ole Werner,1988-05-15,GER,2025/26,2021/22
Augsburg,Jess Thorup,1970-02-21,DEN,2025/26,2023/24
Mainz 05,Bo Henriksen,1975-02-07,DEN,2025/26,2024/25
Union Berlin,Steffen Baumgart,1972-01-05,GER,2025/26,2024/25
Heidenheim,Frank Schmidt,1974-01-03,GER,2025/26,2016/17
St Pauli,Alexander Blessin,1973-05-28,GER,2025/26,2024/25
Holstein Kiel,Marcel Rapp,1979-04-16,GER,2025/26,2021/22
Hamburger SV,Merlin Polzin,1990-08-07,GER,2025/26,2024/25
Köln,Gerhard Struber,1977-01-24,AUT,2025/26,2025/26
Inter,Simone Inzaghi,1976-04-05,ITA,2025/26,2021/22
Milan,Massimiliano Allegri,1967-08-11,ITA,2025/26,2025/26
Juventus,Igor Tudor,1978-04-16,CRO,2025/26,2025/26
Napoli,Antonio Conte,1969-07-31,ITA,2025/26,2024/25
Atalanta,Gian Piero Gasperini,1958-01-26,ITA,2025/26,2016/17
Roma,Claudio Ranieri,1951-10-20,ITA,2025/26,2024/25
Lazio,Marco Baroni,1963-09-15,ITA,2025/26,2024/25
Fiorentina,Raffaele Palladino,1984-04-17,ITA,2025/26,2024/25
Bologna,Vincenzo Italiano,1977-12-10,ITA,2025/26,2024/25
Torino,Paolo Vanoli,1972-08-12,ITA,2025/26,2024/25
Genoa,Patrick Vieira,1976-06-23,FRA,2025/26,2024/25
Como,Cesc Fabregas,1987-05-04,ESP,2025/26,2024/25
Udinese,Kosta Runjaic,1971-06-04,GER,2025/26,2024/25
Cagliari,Davide Nicola,1973-03-05,ITA,2025/26,2024/25
Hellas Verona,Paolo Zanetti,1982-12-16,ITA,2025/26,2024/25
Parma,Fabio Pecchia,1973-08-24,ITA,2025/26,2022/23
Lecce,Marco Giampaolo,1967-08-02,ITA,2025/26,2024/25
Empoli,Roberto D'Aversa,1975-08-12,ITA,2025/26,2024/25
Venezia,Eusebio Di Francesco,1969-09-08,ITA,2025/26,2024/25
Monza,Alessandro Nesta,1976-03-19,ITA,2025/26,2024/25
PSG,Luis Enrique,1970-05-08,ESP,2025/26,2023/24
Marseille,Roberto De Zerbi,1979-06-06,ITA,2025/26,2024/25
Monaco,Adi Hutter,1970-02-28,AUT,2025/26,2023/24
Lille,Bruno Genesio,1966-09-01,FRA,2025/26,2024/25
Lyon,Pierre Sage,1979-05-05,FRA,2025/26,2023/24
Nice,Franck Haise,1971-04-15,FRA,2025/26,2024/25
Lens,Will Still,1992-10-14,BEL,2025/26,2024/25
Rennes,Habib Beye,1977-10-19,SEN,2025/26,2024/25
Strasbourg,Liam Rosenior,1984-07-09,ENG,2025/26,2024/25
Brest,Eric Roy,1967-09-26,FRA,2025/26,2023/24
Nantes,Antoine Kombouare,1963-11-16,FRA,2025/26,2023/24
Reims,Samba Diawara,1978-03-15,MLI,2025/26,2024/25
Toulouse,Carles Martinez,1984-01-03,ESP,2025/26,2024/25
Auxerre,Christophe Pelissier,1965-10-05,FRA,2025/26,2022/23
Angers,Alexandre Dujeux,1976-01-08,FRA,2025/26,2023/24
Le Havre,Didier Digard,1986-07-12,FRA,2025/26,2024/25
Saint-Étienne,Eirik Horneland,1975-07-14,NOR,2025/26,2024/25
Metz,Stephane Le Mignan,1974-06-04,FRA,2025/26,2024/25
Montpellier,Jean-Louis Gasset,1953-12-09,FRA,2025/26,2024/25
